# strain(%), strain_el(%), stress(GPa)
0.00000000 -0.00013068 0.00000000
0.00040000 0.00097307 0.00085578
0.00080000 0.00196821 0.00162734
0.00120000 0.00224822 0.00184445
0.00160000 0.00263076 0.00214104
0.00200000 0.00306031 0.00247408
0.00240000 0.00223484 0.00183407
0.00280000 0.00260392 0.00212023
0.00320000 0.00571427 0.00453180
0.00360000 0.00642604 0.00508366
0.00400000 0.00679829 0.00537228
0.00440000 0.00446281 0.00356150
0.00480000 0.00467350 0.00372485
0.00520000 0.00515217 0.00409598
0.00560000 0.00669569 0.00529273
0.00600000 0.00680486 0.00537737
0.00640000 0.00731186 0.00577047
0.00680000 0.00772566 0.00609131
0.00720000 0.00819381 0.00645428
0.00760000 0.00873899 0.00687697
0.00800000 0.00894183 0.00703425
0.00840000 0.00815596 0.00642493
0.00880000 0.00844749 0.00665097
0.00920000 0.01225400 0.00960229
0.00960000 0.01282737 0.01004685
0.01000000 0.01335806 0.01045831
0.01040000 0.00990405 0.00778029
0.01080000 0.01207743 0.00946539
0.01120000 0.01229060 0.00963067
0.01160000 0.01383052 0.01082462
0.01200000 0.01455979 0.01139006
0.01240000 0.01504385 0.01176537
0.01280000 0.01606250 0.01255516
0.01320000 0.01334937 0.01045158
0.01360000 0.01403868 0.01098602
0.01400000 0.01455546 0.01138670
0.01440000 0.01430071 0.01118918
0.01480000 0.01457526 0.01140205
0.01520000 0.01491298 0.01166390
0.01560000 0.01553046 0.01214265
0.01600000 0.01865910 0.01456840
0.01640000 0.01896813 0.01480800
0.01680000 0.01998355 0.01559529
0.01720000 0.02051592 0.01600806
0.01760000 0.02080496 0.01623216
0.01800000 0.02102996 0.01640661
0.01840000 0.02125478 0.01658093
0.01880000 0.02172671 0.01694683
0.01920000 0.01908037 0.01489502
0.01960000 0.01949334 0.01521522
0.02000000 0.01958097 0.01528316
0.02040000 0.02019352 0.01575809
0.02080000 0.02331440 0.01817783
0.02120000 0.02369635 0.01847397
0.02160000 0.02506628 0.01953612
0.02200000 0.02592236 0.02019987
0.02240000 0.02498780 0.01947528
0.02280000 0.02300584 0.01793859
0.02320000 0.02395648 0.01867566
0.02360000 0.02499498 0.01948085
0.02400000 0.02509050 0.01955490
0.02440000 0.02396802 0.01868460
0.02480000 0.02726741 0.02124274
0.02520000 0.02792190 0.02175019
0.02560000 0.02870330 0.02235604
0.02600000 0.02989468 0.02327976
0.02640000 0.02995475 0.02332633
0.02680000 0.03033462 0.02362086
0.02720000 0.03064799 0.02386383
0.02760000 0.03094114 0.02409112
0.02800000 0.03104023 0.02416795
0.02840000 0.03095540 0.02410217
0.02880000 0.03149453 0.02452018
0.02920000 0.03190642 0.02483953
0.02960000 0.03212022 0.02500530
0.03000000 0.03234356 0.02517847
0.03040000 0.03300856 0.02569407
0.03080000 0.03408674 0.02653002
0.03120000 0.03483490 0.02711009
0.03160000 0.03540219 0.02754993
0.03200000 0.03502349 0.02725631
0.03240000 0.03538970 0.02754025
0.03280000 0.03545355 0.02758976
0.03320000 0.03599354 0.02800843
0.03360000 0.03639980 0.02832341
0.03400000 0.03372840 0.02625219
0.03440000 0.03399065 0.02645551
0.03480000 0.03544980 0.02758685
0.03520000 0.03490095 0.02716130
0.03560000 0.03734446 0.02905585
0.03600000 0.03654783 0.02843819
0.03640000 0.03606290 0.02806221
0.03680000 0.03649855 0.02839998
0.03720000 0.03675238 0.02859678
0.03760000 0.03851572 0.02996396
0.03800000 0.03932503 0.03059146
