# strain(%), energy_raw(eV), energy(eV)
0.00000100 -22367.75028327 0.01123557
0.00040000 -22367.75028732 0.01123128
0.00080000 -22367.75029261 0.01122527
0.00120000 -22367.75029181 0.01122487
0.00160000 -22367.75032196 0.01119303
0.00200000 -22367.75030431 0.01120853
0.00240000 -22367.75031388 0.01119632
0.00280000 -22367.75030032 0.01120676
0.00320000 -22367.75030930 0.01119418
0.00360000 -22367.75030728 0.01119211
0.00400000 -22367.75032236 0.01117248
0.00440000 -22367.75032480 0.01116500
0.00480000 -22367.75030298 0.01118130
0.00520000 -22367.75032943 0.01114885
0.00560000 -22367.75030056 0.01117124
0.00600000 -22367.75031751 0.01114733
0.00640000 -22367.75029716 0.01116024
0.00680000 -22367.75030131 0.01114817
0.00720000 -22367.75029161 0.01114946
0.00760000 -22367.75029303 0.01113917
0.00800000 -22367.75027936 0.01114348
0.00840000 -22367.75027131 0.01114168
0.00880000 -22367.75027892 0.01112376
0.00920000 -22367.75029223 0.01109965
0.00960000 -22367.75027393 0.01110667
0.01000000 -22367.75027635 0.01109248
0.01040000 -22367.75025614 0.01110046
0.01080000 -22367.75024730 0.01109657
0.01120000 -22367.75021994 0.01111074
0.01160000 -22367.75018907 0.01112793
0.01200000 -22367.75018024 0.01112260
0.01240000 -22367.75018217 0.01110603
0.01280000 -22367.75017900 0.01109408
0.01320000 -22367.75015788 0.01109960
0.01360000 -22367.75013466 0.01110674
0.01400000 -22367.75013497 0.01108987
0.01440000 -22367.75011243 0.01109537
0.01480000 -22367.75009227 0.01109800
0.01520000 -22367.75007342 0.01109886
0.01560000 -22367.75005709 0.01109671
0.01600000 -22367.75003971 0.01109513
0.01640000 -22367.75000323 0.01111216
0.01680000 -22367.74999754 0.01109793
0.01720000 -22367.74994101 0.01113407
0.01760000 -22367.74995780 0.01109640
0.01800000 -22367.74993354 0.01109930
0.01840000 -22367.74990601 0.01110499
0.01880000 -22367.74986647 0.01112221
0.01920000 -22367.74984094 0.01112494
0.01960000 -22367.74985177 0.01109083
0.02000000 -22367.74981702 0.01110182
0.02040000 -22367.74980685 0.01108775
0.02080000 -22367.74977330 0.01109658
0.02120000 -22367.74973662 0.01110806
0.02160000 -22367.74970770 0.01111130
0.02200000 -22367.74968983 0.01110301
0.02240000 -22367.74966246 0.01110374
0.02280000 -22367.74964365 0.01109543
