# strain(%), Ebfwd(meV), Ebbwd(meV)
-0.13000000 2.71910346 0.00000000
-0.12503434 2.65909402 0.00530770
-0.12006869 2.59921648 0.01074730
-0.11510303 2.54082587 0.01767383
-0.11013737 2.48657184 0.02873694
-0.10517172 2.43231781 0.03980005
-0.10020606 2.37806378 0.05086317
-0.09524040 2.32380976 0.06192628
-0.09027475 2.27316311 0.07659677
-0.08530909 2.22586655 0.09461736
-0.08034343 2.17856999 0.11263793
-0.07537778 2.13127342 0.13065851
-0.07041212 2.08397687 0.14867909
-0.06544646 2.03668030 0.16669967
-0.06048081 1.99452125 0.18985776
-0.05551515 1.95495605 0.21560969
-0.05054949 1.91539084 0.24136163
-0.04558384 1.87582564 0.26711357
-0.04061818 1.83626044 0.29286550
-0.03565253 1.79669523 0.31861744
-0.03068687 1.75713003 0.34436938
-0.02572121 1.72117969 0.37373619
-0.02075556 1.68954204 0.40741567
-0.01578990 1.65790438 0.44109516
-0.01082424 1.62626673 0.47477465
-0.00585859 1.59462907 0.50845413
-0.00089293 1.56299142 0.54213362
0.00407273 1.53156705 0.57523997
0.00903838 1.49298447 0.60006408
0.01400404 1.46210717 0.63905025
0.01896970 1.43409102 0.67008180
0.02393535 1.39660790 0.70099726
0.02890101 1.36775170 0.74154400
0.03386667 1.33912512 0.78145255
0.03883232 1.30978455 0.82097679
0.04379798 1.28193848 0.85961967
0.04876364 1.25159672 0.89929230
0.05372929 1.22181428 0.93797350
0.05869495 1.19155358 0.97627362
0.06366061 1.16078660 1.01516828
0.06862626 1.13011631 1.05286156
0.07359192 1.10306986 1.10068951
0.07855758 1.07558592 1.14941301
0.08352323 1.04913693 1.19637797
0.08848889 1.02390240 1.24220040
0.09345455 0.99924093 1.28698819
0.09842020 0.97002508 1.33601604
0.10338586 0.94305424 1.38302788
0.10835152 0.91625139 1.42856743
0.11331717 0.88505105 1.47726310
0.11828283 0.85696954 1.52357575
0.12324848 0.82773789 1.56989093
0.12821414 0.80080959 1.62103441
0.13317980 0.77705130 1.67509106
0.13814545 0.75530442 1.72863288
0.14311111 0.73131569 1.78292138
0.14807677 0.70712472 1.83735970
0.15304242 0.68123150 1.88872690
0.15800808 0.65109825 1.93928830
0.16297374 0.62901450 1.99763148
0.16793939 0.60375327 2.05339470
0.17290505 0.57582360 2.10792577
0.17787071 0.55557759 2.15652435
0.18283636 0.52903692 2.21132567
0.18780202 0.49443271 2.28058333
0.19276768 0.47041346 2.34224510
0.19773333 0.45191011 2.40987643
0.20269899 0.43792978 2.46611658
0.20766465 0.42120265 2.53687489
0.21263030 0.38868753 2.58701354
0.21759596 0.36530438 2.65235127
0.22256162 0.34915842 2.72798045
0.22752727 0.31775534 2.79266216
0.23249293 0.29145998 2.84706450
0.23745859 0.26890908 2.91525384
0.24242424 0.25198715 2.98423445
0.24738990 0.23293907 3.05920710
0.25235556 0.21271883 3.12762376
0.25732121 0.19166290 3.19943982
0.26228687 0.17135956 3.27006248
0.26725253 0.14664733 3.34751087
0.27221818 0.12337447 3.41394052
0.27718384 0.10725216 3.48460730
0.28214949 0.09096996 3.55913056
0.28711515 0.07573976 3.62372751
0.29208081 0.05947483 3.69263600
0.29704646 0.04199873 3.75986000
0.30201212 0.02703078 3.82038808
0.30697778 0.01767081 3.88990617
0.31194343 0.00994808 3.93500405
0.31690909 0.00049136 3.99392758
0.32187475 0.00000000 4.06377843
0.32684040 0.00000000 4.13943113
0.33180606 0.00000000 4.21295786
0.33677172 0.00000000 4.28460538
0.34173737 0.00000000 4.35894234
0.34670303 0.00000000 4.42630051
0.35166869 0.00000000 4.49207333
0.35663434 0.00000000 4.52535459
0.36160000 0.00000000 4.53047928
