# temperature, elastic_limit
2.99611634 0.14750504
2.96315827 0.14966761
2.92761468 0.15183019
2.89067685 0.15399276
2.84672001 0.15615534
2.80889165 0.15831791
2.78370983 0.16048049
2.74882228 0.16264306
2.70900509 0.16480564
2.67683387 0.16696822
2.64092241 0.16913079
2.59772546 0.17129337
2.56605326 0.17345594
2.53993138 0.17561852
2.50844641 0.17778109
2.47442620 0.17994367
2.43562859 0.18210624
2.39184107 0.18426882
2.34963209 0.18643139
2.28092062 0.18859397
2.24039292 0.19075654
2.22473576 0.19291912
2.20078820 0.19508170
2.17247508 0.19724427
2.13219166 0.19940685
2.11475287 0.20156942
2.11685308 0.20373200
2.08723078 0.20589457
2.04845138 0.20805715
1.99248728 0.21021972
1.94948179 0.21238230
1.91738057 0.21454487
1.87945731 0.21670745
1.84622643 0.21887002
1.83336670 0.22103260
1.78155194 0.22319518
1.69726445 0.22535775
1.69251702 0.22752033
1.68199386 0.22968290
1.61567035 0.23184548
1.56141916 0.23400805
1.52725672 0.23617063
1.50032698 0.23833320
1.47306128 0.24049578
1.44327374 0.24265835
1.41191101 0.24482093
1.37924900 0.24698350
1.34257283 0.24914608
1.30709187 0.25130866
1.27770511 0.25347123
1.23984731 0.25563381
1.19967570 0.25779638
1.16704966 0.25995896
1.12764771 0.26212153
1.07892306 0.26428411
1.03462261 0.26644668
0.99115663 0.26860926
0.94585291 0.27077183
0.90108146 0.27293441
0.86971346 0.27509698
0.84017602 0.27725956
0.80926978 0.27942214
0.77309675 0.28158471
0.73896550 0.28374729
0.70776179 0.28590986
0.67030159 0.28807244
0.63100372 0.29023501
0.59747645 0.29239759
0.55818868 0.29456016
0.51117025 0.29672274
0.46479334 0.29888531
0.42233309 0.30104789
0.39664851 0.30321046
0.36885455 0.30537304
0.33830290 0.30753562
0.31322518 0.30969819
0.28788034 0.31186077
0.25327253 0.31402334
0.21293138 0.31618592
0.19158987 0.31834849
0.19158987 0.32051107
0.19158987 0.32267364
0.19158987 0.32483622
0.19158987 0.32699879
0.19158987 0.32916137
0.19158987 0.33132394
0.19158987 0.33348652
0.19158987 0.33564910
0.19158987 0.33781167
0.19158987 0.33997425
0.19158987 0.34213682
0.19158987 0.34429940
0.19158987 0.34646197
0.19158987 0.34862455
0.19158987 0.35078712
0.19158987 0.35294970
0.19158987 0.35511227
0.19158987 0.35727485
0.19158987 0.35943742
0.19158987 0.36160000
