# temperature, elastic_limit
17.99092105 0.44265642
17.83842288 0.44529221
17.68557301 0.44792800
17.52961838 0.45056380
17.37268684 0.45319959
17.20936990 0.45583538
17.04300701 0.45847118
16.87476117 0.46110697
16.70406248 0.46374277
16.53241369 0.46637856
16.35745843 0.46901435
16.18198595 0.47165015
16.00240495 0.47428594
15.82171363 0.47692173
15.63861218 0.47955753
15.45363640 0.48219332
15.26624811 0.48482912
15.07429592 0.48746491
14.88167430 0.49010070
14.68890542 0.49273650
14.49541534 0.49537229
14.29641327 0.49800808
14.09511711 0.50064388
13.89343351 0.50327967
13.69137199 0.50591547
13.48704632 0.50855126
13.27651189 0.51118705
13.06499668 0.51382285
12.87636209 0.51645864
12.73433621 0.51909444
12.59052910 0.52173023
12.44554406 0.52436602
12.29755362 0.52700182
12.14493542 0.52963761
11.99171576 0.53227340
11.83770001 0.53490920
11.68307562 0.53754499
11.52453475 0.54018079
11.36463591 0.54281658
11.20293190 0.54545237
11.03959551 0.54808817
10.87528521 0.55072396
10.70960729 0.55335975
10.54285583 0.55599555
10.37373647 0.55863134
10.20374372 0.56126714
10.03117436 0.56390293
9.85741073 0.56653872
9.68139212 0.56917452
9.50347639 0.57181031
9.32303851 0.57444610
9.13839713 0.57708190
8.95260333 0.57971769
8.76726041 0.58235349
8.58060415 0.58498928
8.38942656 0.58762507
8.19580840 0.59026087
7.99698826 0.59289666
7.79267177 0.59553245
7.61275089 0.59816825
7.48688462 0.60080404
7.36027068 0.60343984
7.23288235 0.60607563
7.10469123 0.60871142
6.97566703 0.61134722
6.84577746 0.61398301
6.71498786 0.61661881
6.58326121 0.61925460
6.45055767 0.62189039
6.31683442 0.62452619
6.18204517 0.62716198
6.04613995 0.62979777
5.90906448 0.63243357
5.77075976 0.63506936
5.63116137 0.63770516
5.49019887 0.64034095
5.34779479 0.64297674
5.20386374 0.64561254
5.05831111 0.64824833
4.91103167 0.65088412
4.76190771 0.65351992
4.61080690 0.65615571
4.45757952 0.65879151
4.30205512 0.66142730
4.15512662 0.66406309
4.07468216 0.66669889
3.99352190 0.66933468
3.91161121 0.67197047
3.82891247 0.67460627
3.74538473 0.67724206
3.66098315 0.67987786
3.57565862 0.68251365
3.48935693 0.68514944
3.40201829 0.68778524
3.31357622 0.69042103
3.22395660 0.69305682
3.13307625 0.69569262
3.04084142 0.69832841
2.94714556 0.70096421
2.85186704 0.70360000
