# temperature, elastic_limit
140.00094382 1.88646042
145.55903568 1.90275880
144.37978319 1.91905718
143.19865143 1.93535556
141.92718224 1.95165394
140.61377011 1.96795232
139.19011368 1.98425070
137.45724299 2.00054908
135.72006481 2.01684746
133.93936258 2.03314584
132.14455885 2.04944422
130.34313220 2.06574260
128.53379601 2.08204098
126.71936886 2.09833936
124.85082036 2.11463774
122.97391308 2.13093612
121.18291329 2.14723450
119.47228752 2.16353288
117.72205846 2.17983126
115.60554254 2.19612964
113.48110642 2.21242801
112.19673103 2.22872639
111.35047901 2.24502477
110.49083698 2.26132315
109.58898893 2.27762153
108.68561050 2.29391991
106.98670378 2.31021829
105.08128629 2.32651667
103.47485851 2.34281505
102.38795713 2.35911343
101.29864146 2.37541181
101.43003486 2.39171019
101.64021367 2.40800857
101.36685435 2.42430695
100.62753613 2.44060533
99.89820991 2.45690371
99.29597751 2.47320209
98.69297666 2.48950047
97.73003398 2.50579885
96.57142461 2.52209723
95.23322191 2.53839561
93.26449698 2.55469399
91.28688225 2.57099237
88.59674650 2.58729074
85.70153213 2.60358912
82.98999575 2.61988750
80.62394614 2.63618588
78.24253580 2.65248426
76.40429969 2.66878264
74.59746636 2.68508102
73.06757702 2.70137940
71.81623327 2.71767778
70.15313245 2.73397616
63.17002551 2.75027454
65.82214842 2.76657292
65.94825986 2.78287130
64.19025336 2.79916968
61.60149481 2.81546806
56.34324499 2.83176644
58.45578986 2.84806482
57.75758615 2.86436320
56.27590672 2.88066158
54.82451760 2.89695996
53.43685734 2.91325834
52.04043522 2.92955672
50.76190984 2.94585509
49.48601370 2.96215347
48.24971847 2.97845185
47.05473756 2.99475023
45.85357474 3.01104861
44.66541883 3.02734699
43.46922622 3.04364537
42.25458913 3.05994375
41.02513261 3.07624213
39.77986702 3.09254051
38.50002502 3.10883889
37.20891896 3.12513727
35.86749252 3.14143565
34.50128006 3.15773403
33.18383404 3.17403241
31.97354583 3.19033079
30.75048336 3.20662917
27.97451931 3.22292755
27.22498507 3.23922593
26.87873224 3.25552431
25.68981577 3.27182269
24.49829220 3.28812107
23.52240976 3.30441945
22.53416662 3.32071782
21.57488229 3.33701620
20.62779083 3.35331458
19.52972570 3.36961296
17.83883852 3.38591134
16.09337641 3.40220972
15.19514546 3.41850810
14.55731357 3.43480648
13.66031120 3.45110486
12.23501019 3.46740324
10.74415186 3.48370162
8.55826929 3.50000000
