# strain(%), strain_el(%), stress(GPa)
0.00000000 -0.00013068 0.00000000
0.00040000 0.00008442 0.00016677
0.00080000 0.00014433 0.00021322
0.00120000 0.00078012 0.00070618
0.00160000 0.00152414 0.00128304
0.00200000 0.00217125 0.00178477
0.00240000 0.00220467 0.00181068
0.00280000 0.00266577 0.00216818
0.00320000 0.00272637 0.00221517
0.00360000 0.00324995 0.00262112
0.00400000 0.00389262 0.00311941
0.00440000 0.00442427 0.00353162
0.00480000 0.00478356 0.00381019
0.00520000 0.00506057 0.00402497
0.00560000 0.00492943 0.00392328
0.00600000 0.00542384 0.00430662
0.00640000 0.00660682 0.00522382
0.00680000 0.00712303 0.00562406
0.00720000 0.00713398 0.00563256
0.00760000 0.00736615 0.00581257
0.00800000 0.00792894 0.00624892
0.00840000 0.00875906 0.00689254
0.00880000 0.00938043 0.00737431
0.00920000 0.00991309 0.00778730
0.00960000 0.01030241 0.00808915
0.01000000 0.01068180 0.00838331
0.01040000 0.01088548 0.00854123
0.01080000 0.01100573 0.00863447
0.01120000 0.01095956 0.00859867
0.01160000 0.01136261 0.00891117
0.01200000 0.01188697 0.00931772
0.01240000 0.01235108 0.00967756
0.01280000 0.01261667 0.00988348
0.01320000 0.01305188 0.01022092
0.01360000 0.01348266 0.01055492
0.01400000 0.01405537 0.01099896
0.01440000 0.01458733 0.01141141
0.01480000 0.01512384 0.01182738
0.01520000 0.01551413 0.01212999
0.01560000 0.01589303 0.01242377
0.01600000 0.01637586 0.01279812
0.01640000 0.01645703 0.01286106
0.01680000 0.01670081 0.01305007
0.01720000 0.01696164 0.01325230
0.01760000 0.01736084 0.01356181
0.01800000 0.01780386 0.01390530
0.01840000 0.01821231 0.01422199
0.01880000 0.01845970 0.01441380
0.01920000 0.01904279 0.01486589
0.01960000 0.01935639 0.01510904
0.02000000 0.02007942 0.01566963
0.02040000 0.02065537 0.01611618
0.02080000 0.02131570 0.01662816
0.02120000 0.02184332 0.01703725
0.02160000 0.02208301 0.01722308
0.02200000 0.02239764 0.01746703
0.02240000 0.02280468 0.01778262
0.02280000 0.02309909 0.01801089
0.02320000 0.02341261 0.01825397
0.02360000 0.02399349 0.01870435
0.02400000 0.02434442 0.01897644
0.02440000 0.02468824 0.01924301
0.02480000 0.02486554 0.01938048
0.02520000 0.02506776 0.01953727
0.02560000 0.02551473 0.01988382
0.02600000 0.02603035 0.02028361
0.02640000 0.02635303 0.02053379
0.02680000 0.02688415 0.02094558
0.02720000 0.02718832 0.02118142
0.02760000 0.02736913 0.02132161
0.02800000 0.02771059 0.02158635
0.02840000 0.02807756 0.02187088
0.02880000 0.02874361 0.02238729
0.02920000 0.02908491 0.02265191
0.02960000 0.02968177 0.02311468
0.03000000 0.03048059 0.02373403
0.03040000 0.03124696 0.02432823
0.03080000 0.03186006 0.02480359
0.03120000 0.03229017 0.02513707
0.03160000 0.03236148 0.02519236
0.03200000 0.03244009 0.02525330
0.03240000 0.03267132 0.02543259
0.03280000 0.03280715 0.02553790
0.03320000 0.03320592 0.02584708
0.03360000 0.03343172 0.02602216
0.03400000 0.03395701 0.02642943
0.03440000 0.03423229 0.02664287
0.03480000 0.03426745 0.02667012
0.03520000 0.03498485 0.02722635
0.03560000 0.03571421 0.02779185
0.03600000 0.03603310 0.02803910
0.03640000 0.03643366 0.02834967
0.03680000 0.03692816 0.02873307
0.03720000 0.03779067 0.02940181
0.03760000 0.03841594 0.02988660
0.03800000 0.03900034 0.03033971
0.03840000 0.03928521 0.03056058
0.03880000 0.03929935 0.03057154
0.03920000 0.03928798 0.03056272
0.03960000 0.03949535 0.03072351
0.04000000 0.03977730 0.03094212
0.04040000 0.04017906 0.03125361
0.04080000 0.04060858 0.03158664
0.04120000 0.04112539 0.03198734
0.04160000 0.04156531 0.03232842
0.04200000 0.04231271 0.03290792
0.04240000 0.04277169 0.03326377
0.04280000 0.04333682 0.03370195
0.04320000 0.04399629 0.03421326
0.04360000 0.04453300 0.03462938
0.04400000 0.04500748 0.03499726
0.04440000 0.04500622 0.03499629
0.04480000 0.04475445 0.03480108
0.04520000 0.04516399 0.03511861
0.04560000 0.04537074 0.03527892
0.04600000 0.04574302 0.03556756
0.04640000 0.04345979 0.03379729
0.04680000 0.04386335 0.03411018
0.04720000 0.04393412 0.03416505
0.04760000 0.04451201 0.03461311
0.04800000 0.04596503 0.03573969
0.04840000 0.04608588 0.03583339
0.04880000 0.04572932 0.03555693
0.04920000 0.04613229 0.03586937
0.04960000 0.04680860 0.03639374
0.05000000 0.04687959 0.03644878
0.05040000 0.04745248 0.03689297
0.05080000 0.04781746 0.03717594
0.05120000 0.04820418 0.03747579
0.05160000 0.04840057 0.03762806
0.05200000 0.04892092 0.03803150
0.05240000 0.04948871 0.03847173
0.05280000 0.04963489 0.03858507
0.05320000 0.05125203 0.03983889
0.05360000 0.05040895 0.03918523
0.05400000 0.05031529 0.03911260
0.05440000 0.05169138 0.04017954
0.05480000 0.05150255 0.04003313
0.05520000 0.05186393 0.04031332
0.05560000 0.05519198 0.04289368
0.05600000 0.05599709 0.04351791
0.05640000 0.05644785 0.04386740
0.05680000 0.05721559 0.04446266
0.05720000 0.05783680 0.04494431
0.05760000 0.05848998 0.04545074
0.05800000 0.05876897 0.04566706
0.05840000 0.05921110 0.04600985
0.05880000 0.05939121 0.04614950
0.05920000 0.05945737 0.04620079
0.05960000 0.05965101 0.04635093
0.06000000 0.05996744 0.04659627
0.06040000 0.06030290 0.04685636
0.06080000 0.06058401 0.04707432
0.06120000 0.06118349 0.04753912
0.06160000 0.06147467 0.04776488
0.06200000 0.06177396 0.04799693
0.06240000 0.06235909 0.04845061
0.06280000 0.06314962 0.04906353
0.06320000 0.06386839 0.04962082
0.06360000 0.06449568 0.05010718
0.06400000 0.06492212 0.05043781
0.06440000 0.06481573 0.05035533
0.06480000 0.06457663 0.05016995
0.06520000 0.06482449 0.05036212
0.06560000 0.06546220 0.05085656
0.06600000 0.06605718 0.05131787
0.06640000 0.06642840 0.05160569
0.06680000 0.06794179 0.05277907
0.06720000 0.06825477 0.05302174
0.06760000 0.06851029 0.05321986
0.06800000 0.06831082 0.05306520
0.06840000 0.06838389 0.05312185
0.06880000 0.06880467 0.05344810
0.06920000 0.06911851 0.05369143
0.06960000 0.06924822 0.05379200
0.07000000 0.06953160 0.05401172
0.07040000 0.07037296 0.05466405
0.07080000 0.07111274 0.05523763
0.07120000 0.07186384 0.05581998
0.07160000 0.07234045 0.05618952
0.07200000 0.07282285 0.05656354
0.07240000 0.07296482 0.05667362
0.07280000 0.07309194 0.05677217
0.07320000 0.07309504 0.05677458
0.07360000 0.07368776 0.05723414
0.07400000 0.07392975 0.05742176
0.07440000 0.07406472 0.05752641
0.07480000 0.07447709 0.05784614
0.07520000 0.07502612 0.05827181
0.07560000 0.07548523 0.05862778
0.07600000 0.07600712 0.05903243
0.07640000 0.07633665 0.05928792
0.07680000 0.07667745 0.05955215
0.07720000 0.07691929 0.05973966
0.07760000 0.07732483 0.06005409
0.07800000 0.07778086 0.06040767
0.07840000 0.07842935 0.06091047
0.07880000 0.07891134 0.06128417
0.07920000 0.07908680 0.06142021
0.07960000 0.07940714 0.06166858
0.08000000 0.07970070 0.06189619
0.08040000 0.08019213 0.06227722
0.08080000 0.08071070 0.06267928
0.08120000 0.08110127 0.06298211
0.08160000 0.08145559 0.06325682
0.08200000 0.08185980 0.06357022
0.08240000 0.08215634 0.06380014
0.08280000 0.08252934 0.06408934
0.08320000 0.08324927 0.06464753
0.08360000 0.08358026 0.06490416
0.08400000 0.08400679 0.06523486
0.08440000 0.08414936 0.06534540
0.08480000 0.08461686 0.06570787
0.08520000 0.08507347 0.06606189
0.08560000 0.08555305 0.06643373
0.08600000 0.08586288 0.06667395
0.08640000 0.08620719 0.06694091
0.08680000 0.08643893 0.06712059
0.08720000 0.08696480 0.06752831
0.08760000 0.08739100 0.06785876
0.08800000 0.08806893 0.06838438
0.08840000 0.08805504 0.06837361
0.08880000 0.08525910 0.06620582
0.08920000 0.08608982 0.06684991
0.08960000 0.08649782 0.06716625
0.09000000 0.08643910 0.06712072
0.09040000 0.08705472 0.06759803
0.09080000 0.08755487 0.06798582
0.09120000 0.08807656 0.06839030
0.09160000 0.08840330 0.06864364
0.09200000 0.08879627 0.06894832
0.09240000 0.08923191 0.06928609
0.09280000 0.08942083 0.06943256
0.09320000 0.08965796 0.06961642
0.09360000 0.08999277 0.06987601
0.09400000 0.09065176 0.07038695
0.09440000 0.09105043 0.07069605
0.09480000 0.09127112 0.07086716
0.09520000 0.09167831 0.07118287
0.09560000 0.09212577 0.07152980
0.09600000 0.09262722 0.07191859
0.09640000 0.09299314 0.07220231
0.09680000 0.09346846 0.07257084
0.09720000 0.09403354 0.07300897
0.09760000 0.09427852 0.07319890
0.09800000 0.09443401 0.07331946
0.09840000 0.09498421 0.07374605
0.09880000 0.09535593 0.07403426
0.09920000 0.09565097 0.07426301
0.09960000 0.09620673 0.07469392
0.10000000 0.09665001 0.07503761
0.10040000 0.09697449 0.07528919
0.10080000 0.09775114 0.07589136
0.10120000 0.09859030 0.07654199
0.10160000 0.09822223 0.07625661
0.10200000 0.09896483 0.07683238
0.10240000 0.09926744 0.07706700
0.10280000 0.09935460 0.07713458
0.10320000 0.09986562 0.07753079
0.10360000 0.10019886 0.07778916
0.10400000 0.10075854 0.07822311
0.10440000 0.10091485 0.07834430
0.10480000 0.10133584 0.07867070
0.10520000 0.10183110 0.07905470
0.10560000 0.10230992 0.07942594
0.10600000 0.10257301 0.07962993
0.10640000 0.10307823 0.08002164
0.10680000 0.10352738 0.08036989
0.10720000 0.10387805 0.08064178
0.10760000 0.10426581 0.08094242
0.10800000 0.10444023 0.08107766
0.10840000 0.10510630 0.08159408
0.10880000 0.10555790 0.08194422
0.10920000 0.10587998 0.08219394
0.10960000 0.10602216 0.08230418
0.11000000 0.10679610 0.08290424
0.11040000 0.10689277 0.08297920
0.11080000 0.10739844 0.08337126
0.11120000 0.10778395 0.08367016
0.11160000 0.10822750 0.08401406
0.11200000 0.10852477 0.08424454
0.11240000 0.10901751 0.08462659
0.11280000 0.10959600 0.08507511
0.11320000 0.10969412 0.08515119
0.11360000 0.11006333 0.08543745
0.11400000 0.11068614 0.08592034
0.11440000 0.11108342 0.08622836
0.11480000 0.11144334 0.08650742
0.11520000 0.11173361 0.08673247
0.11560000 0.11213059 0.08704027
0.11600000 0.11266417 0.08745398
0.11640000 0.11281378 0.08756998
0.11680000 0.11356956 0.08815596
0.11720000 0.11385056 0.08837383
0.11760000 0.11414310 0.08860064
0.11800000 0.11464669 0.08899109
0.11840000 0.11497861 0.08924845
0.11880000 0.11536317 0.08954661
0.11920000 0.11568259 0.08979427
0.11960000 0.11599597 0.09003724
0.12000000 0.11659107 0.09049865
0.12040000 0.11676787 0.09063572
0.12080000 0.11749884 0.09120247
0.12120000 0.11786837 0.09148898
0.12160000 0.11805563 0.09163417
0.12200000 0.11837851 0.09188452
0.12240000 0.11887625 0.09227043
0.12280000 0.11948416 0.09274177
0.12320000 0.11979466 0.09298251
0.12360000 0.11993296 0.09308974
0.12400000 0.12045170 0.09349193
0.12440000 0.12095862 0.09388496
0.12480000 0.12140498 0.09423104
0.12520000 0.12171244 0.09446943
0.12560000 0.12223051 0.09487111
0.12600000 0.12258638 0.09514703
0.12640000 0.12304767 0.09550469
0.12680000 0.12344842 0.09581540
0.12720000 0.12366984 0.09598707
0.12760000 0.12432310 0.09649357
0.12800000 0.12437515 0.09653393
0.12840000 0.12497053 0.09699555
0.12880000 0.12532018 0.09726664
0.12920000 0.12569866 0.09756009
0.12960000 0.12608968 0.09786326
0.13000000 0.12662346 0.09827712
0.13040000 0.12716997 0.09870086
0.13080000 0.12724935 0.09876240
0.13120000 0.12768890 0.09910320
0.13160000 0.12809648 0.09941921
0.13200000 0.12855401 0.09977395
0.13240000 0.12883245 0.09998984
0.13280000 0.12929378 0.10034752
0.13320000 0.12978137 0.10072557
0.13360000 0.13020021 0.10105031
0.13400000 0.13058842 0.10135130
0.13440000 0.13064965 0.10139878
0.13480000 0.13132751 0.10192435
0.13520000 0.13199223 0.10243973
0.13560000 0.13237977 0.10274020
0.13600000 0.13242320 0.10277388
0.13640000 0.13266131 0.10295849
0.13680000 0.13319952 0.10337578
0.13720000 0.13372845 0.10378588
0.13760000 0.13426252 0.10419996
0.13800000 0.13444363 0.10434039
0.13840000 0.13486337 0.10466583
0.13880000 0.13533574 0.10503208
0.13920000 0.13564284 0.10527018
0.13960000 0.13603502 0.10557425
0.14000000 0.13638298 0.10584403
0.14040000 0.13698054 0.10630735
0.14080000 0.13745755 0.10667719
0.14120000 0.13780025 0.10694290
0.14160000 0.13816244 0.10722372
0.14200000 0.13830689 0.10733571
0.14240000 0.13849021 0.10747785
0.14280000 0.13908192 0.10793662
0.14320000 0.13977854 0.10847674
0.14360000 0.14025929 0.10884948
0.14400000 0.14041763 0.10897225
0.14440000 0.14089743 0.10934426
0.14480000 0.14502648 0.11254566
0.14520000 0.14577099 0.11312291
0.14560000 0.14561527 0.11300217
0.14600000 0.14631997 0.11354855
0.14640000 0.14621018 0.11346342
0.14680000 0.14671710 0.11385646
0.14720000 0.14710715 0.11415888
0.14760000 0.14738355 0.11437318
0.14800000 0.14777198 0.11467435
0.14840000 0.14823600 0.11503412
0.14880000 0.14885117 0.11551108
0.14920000 0.14938845 0.11592765
0.14960000 0.14908264 0.11569055
0.15000000 0.14983239 0.11627186
0.15040000 0.15042075 0.11672804
0.15080000 0.15062367 0.11688536
0.15120000 0.15101439 0.11718830
0.15160000 0.15128915 0.11740134
0.15200000 0.15152948 0.11758767
0.15240000 0.15219580 0.11810430
0.15280000 0.15277357 0.11855226
0.15320000 0.15311846 0.11881967
0.15360000 0.15345454 0.11908024
0.15400000 0.15364606 0.11922874
0.15440000 0.15428175 0.11972161
0.15480000 0.15461586 0.11998066
0.15520000 0.15492691 0.12022183
0.15560000 0.15551742 0.12067967
0.15600000 0.15597362 0.12103338
0.15640000 0.15648393 0.12142904
0.15680000 0.15657911 0.12150283
0.15720000 0.15726378 0.12203369
0.15760000 0.15391749 0.11943919
0.15800000 0.15421728 0.11967162
0.15840000 0.15483533 0.12015082
0.15880000 0.15534473 0.12054578
0.15920000 0.15572941 0.12084403
0.15960000 0.15590261 0.12097832
0.16000000 0.15608289 0.12111810
